Web_page,Time_Stamp
"https://lavasoft.gosearchresults.com/?q=flipkart+pc+download&tt=vmn__webcompa__1_0__go__lvs__webcompa__1_0__go__ch_WCYID10438_200329__yrff__yrff&pid=5ac784309091147a162b4431","2020-03-29 19:11:27"
"https://securesearch.org/homepage?hp=2&pId=BT170902&iDate=2020-03-22%2010.27.52&bName=","2020-03-29 19:11:16"
"http://securedsearch.lavasoft.com/?pr=vmn&id=webcompa&ent=lvs__webcompa__1_0__ya__ch_WCYID10438_200329__yrff","2020-03-29 19:11:16"
"https://www.chegg.com/study?utm_source=431788&utm_medium=Affiliate&utm_campaign=study&utm_content=9469&CID=267627&AFID=431788&ADID=0&SID=9469securedsearch.lavasoft.com/?pr=vmn&id=webcompa&ent=lvs__webcompa__1_0__ya__ch_WCYID10438_200326__yrff","2020-03-26 14:23:55"
"https://securesearch.org/homepage?hp=2&pId=BT170902&iDate=2020-03-22%2010.27.52&bName=","2020-03-26 14:23:53"
"http://securedsearch.lavasoft.com/?pr=vmn&id=webcompa&ent=lvs__webcompa__1_0__ya__ch_WCYID10438_200326__yrff","2020-03-26 14:23:53"
"https://www.speedtest.net/result/9178319637","2020-03-24 23:01:58"
"https://www.speedtest.net/#","2020-03-24 23:00:49"
"https://www.speedtest.net/","2020-03-24 23:00:44"
"https://www.google.com/search?client=firefox-b-d&q=ookla+speed+test","2020-03-24 23:00:41"
"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=2ahUKEwi6p-DSxbPoAhVlwTgGHXo4BqAQFjAAegQIBBAB&url=https%3A%2F%2Fsteamunlocked.net%2Fprototype-free-download%2F&usg=AOvVaw1p9fOsYb-9DJySKoT-s7Wk","2020-03-24 22:59:54"
"https://steamunlocked.net/prototype-free-download/","2020-03-24 22:59:54"
"https://www.gametop.com/download-free-games/pc-games.html","2020-03-24 22:59:30"
"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=2ahUKEwix_uC90bPoAhWm8XMBHY7EBmYQFjAAegQIBhAB&url=https%3A%2F%2Fwww.gametop.com%2Fdownload-free-games%2Fpc-games.html&usg=AOvVaw3fiLdVHhJi-uSz9S7f4LNC","2020-03-24 22:59:29"
"https://steamunlocked.net/prototype-free-download/","2020-03-24 22:59:02"
"https://briefext.com/ertlddjjl?external_id=15850708330771336872094076500638456&source=2059087-1271847957-0&cost=&sub_id_1=&acsc=166108242","2020-03-24 22:57:15"
"http://www.performanceonclick.com/jump/next.php?r=2059087&pub_clickid=2967857315474078195&sub1=787432","2020-03-24 22:57:13"
"https://uploadhaven.com/download/e6a5ee81290649f594e64676312c9247","2020-03-24 22:56:54"
"https://www.google.com/search?client=firefox-b-d&q=wolf+street+movie","2020-03-24 22:15:04"
"https://go.vuer.net/cetvrtis/ethwfgs/?utm_source=48&utm_campaign=11632826&sub=2129959-1271847957-0&ctrack=15850679030771336872250480602268394&acsc=201438642","2020-03-24 22:08:25"
